"country","year","suicides","population","suicide_per_100k","gdp_per_capita"
"Croatia",2001,881,4180633,21.0733637705104,5571
"Croatia",2002,874,4217300,20.7241600075878,6373
"Croatia",2003,865,4225600,20.470465732677,8202
"Croatia",2004,871,4229600,20.5929638736524,9829
"Croatia",2005,874,4235875,20.63328119928,10722
"Croatia",2006,796,4234946,18.7959893703485,11914
"Croatia",2007,775,4230855,18.317810466206,14204
"Croatia",2008,793,4225583,18.7666411948363,16680
"Croatia",2009,790,4216050,18.7379181935698,14872
"Croatia",2010,776,4203963,18.4587733050933,14232
"Croatia",2011,702,4189029,16.758060161436,14890
"Croatia",2012,776,4054296,19.1401910467317,13952
"Croatia",2013,692,4044457,17.1098369941874,14362
"Croatia",2014,722,4030452,17.9136235836576,14299
"Croatia",2015,739,4001669,18.467294521361,12351
"Cuba",1992,2299,9915600,23.1856871999677,2227
"Cuba",1993,2374,10004200,23.7300333859779,2236
"Cuba",1994,2278,10089300,22.5783751102653,2820
"Cuba",1995,2222,10168400,21.8520121159671,2993
"Cuba",1996,2014,10241600,19.6648961099828,2443
"Cuba",1997,2029,10260492,19.7748801909304,2472
"Cuba",1998,2056,10307978,19.9457158329209,2497
"Cuba",1999,2050,10350039,19.8066886511249,2741
"Cuba",2000,1845,10397209,17.7451467985303,2940
"Cuba",2001,1652,10433428,15.8337221476968,3037
"Cuba",2002,1606,10479415,15.3252829475691,3205
"Cuba",2003,1499,10531074,14.2340657752476,3409
"Cuba",2004,1515,10578701,14.32122904315,3611
"Cuba",2005,1397,10616406,13.1588788145442,4017
"Cuba",2006,1376,10653638,12.9157758129195,4951
"Cuba",2007,1307,10678023,12.2400935079462,5488
"Cuba",2008,1377,10693814,12.8766032399666,5686
"Cuba",2009,1477,10708230,13.7931292099628,5797
"Cuba",2010,1558,10725848,14.5256580179022,5997
"Cuba",2011,1529,10748034,14.225857491705,6419
"Cuba",2012,1495,10770535,13.8804618340686,6791
"Cuba",2013,1499,10792690,13.8890304456072,7148
"Cuba",2014,1453,10813411,13.4370181619842,7459
"Cuba",2015,1511,10832068,13.9493215884538,8044
"Cyprus",1999,1,856733,0.116722479465598,12389
"Cyprus",2000,7,875229,0.799790683352586,11635
"Cyprus",2004,7,690616,1.01358786938038,25227
"Cyprus",2005,17,701263,2.42419748368301,26671
"Cyprus",2006,19,713426,2.66320543406044,28600
"Cyprus",2007,19,728566,2.60786256838776,33048
"Cyprus",2008,41,747034,5.48837134588252,37267
"Cyprus",2009,32,767174,4.17115282843266,33816
"Cyprus",2010,38,787081,4.82796560963865,32477
"Cyprus",2011,30,800820,3.74616018580955,34249
"Cyprus",2012,36,814305,4.42094792491757,30752
"Cyprus",2013,45,813016,5.53494642171864,29624
"Cyprus",2014,44,804818,5.4670745435614,29024
"Cyprus",2015,40,796037,5.02489205903746,24718
"Czech Republic",1990,1997,9710900,20.5645202813333,4168
"Czech Republic",1991,1904,9667500,19.6948538919059,3070
"Czech Republic",1992,1991,9681900,20.5641454673153,3573
"Czech Republic",1993,1917,9703400,19.7559618278129,4186
"Czech Republic",1994,1872,9723700,19.251930849368,4891
"Czech Republic",1995,1733,9744300,17.7847562164547,6134
"Czech Republic",1996,1568,9763900,16.0591566894376,6861
"Czech Republic",1997,1666,9786700,17.0231027823475,6314
"Czech Republic",1998,1613,9808300,16.4452555488719,6779
"Czech Republic",1999,1610,9819215,16.3964227282935,6606
"Czech Republic",2000,1649,9819742,16.7927018856504,6278
"Czech Republic",2001,1623,9838083,16.4971163589492,6863
"Czech Republic",2002,1534,9752463,15.7293598550438,8399
"Czech Republic",2003,1719,9748550,17.6333916326018,10220
"Czech Republic",2004,1583,9746647,16.2414828402014,12226
"Czech Republic",2005,1565,9761733,16.0319894018818,13961
"Czech Republic",2006,1400,9780319,14.3144615221651,15896
"Czech Republic",2007,1379,9818295,14.0452084603284,19273
"Czech Republic",2008,1379,9899594,13.9298641944306,23811
"Czech Republic",2009,1464,9937407,14.7322133429777,20748
"Czech Republic",2010,1502,9945273,15.102652285161,20862
"Czech Republic",2011,1590,9906318,16.0503630107574,23010
"Czech Republic",2012,1658,9923127,16.708442812432,20898
"Czech Republic",2013,1577,9936780,15.870332240424,21073
"Czech Republic",2014,1489,9963127,14.9451070933854,20859
"Czech Republic",2015,1387,9989325,13.8848220475357,18703
"Denmark",1994,999,4874900,20.4927280559601,32034
"Denmark",1995,924,4889100,18.8991838988771,37841
"Denmark",1996,892,4917300,18.1400361987269,38158
"Denmark",1997,817,4937300,16.5475057217508,35148
"Denmark",1998,763,4956400,15.394237753208,35710
"Denmark",1999,762,4976200,15.3128893533218,35763
"Denmark",2000,728,4998610,14.5640488055679,32841
"Denmark",2001,727,5018451,14.486541763584,32837
"Denmark",2002,688,5041222,13.6474846773263,35435
"Denmark",2003,633,5056783,12.5178398993985,43129
"Denmark",2004,661,5072927,13.0299529246133,49552
"Denmark",2005,631,5089852,12.3972170507119,51960
"Denmark",2006,650,5110460,12.719011595825,55354
"Denmark",2007,581,5133001,11.3189146076535,62229
"Denmark",2008,603,5162525,11.6803308458555,68447
"Denmark",2009,622,5192790,11.9781466225285,61863
"Denmark",2010,563,5217785,10.7900191364727,61711
"Denmark",2011,589,5244150,11.2315627890125,65598
"Denmark",2012,661,5270539,12.5414117986794,62071
"Denmark",2013,610,5299698,11.5100898202124,64831
"Denmark",2014,629,5339166,11.7808661502564,66114
"Denmark",2015,564,5383060,10.4773121607413,55972
"Ecuador",1985,393,7661800,5.12934297423582,2238
"Ecuador",1986,377,7881300,4.78347480745562,1943
"Ecuador",1987,390,8356800,4.66685812751292,1669
"Ecuador",1988,466,8593200,5.42289251966671,1519
"Ecuador",1989,431,8578619,5.02411868390472,1619
"Ecuador",1990,448,8800933,5.0903693960629,1732
"Ecuador",1991,494,9091700,5.43352728312637,1869
"Ecuador",1992,505,9253155,5.45759797604169,1955
"Ecuador",1993,574,9488483,6.04943909368863,1996
"Ecuador",1994,512,9725255,5.26464344636722,2335
"Ecuador",1995,546,9960563,5.48161785634005,2453
"Ecuador",1996,593,10195848,5.81609298216294,2474
"Ecuador",1997,579,10427773,5.55247990150917,2701
"Ecuador",1998,546,10656446,5.12365942641665,2626
"Ecuador",1999,616,10883283,5.66005680455061,1805
"Ecuador",2000,534,11109383,4.80674759345321,1650
"Ecuador",2001,584,11328328,5.15521796332168,2160
"Ecuador",2002,577,11548770,4.99620305885389,2472
"Ecuador",2003,675,11771002,5.7344311045058,2755
"Ecuador",2004,791,11994153,6.59488002195737,3051
"Ecuador",2005,943,12217643,7.71834632915694,3397
"Ecuador",2006,900,12449374,7.22927915893602,3759
"Ecuador",2007,1005,12677354,7.92752178411994,4024
"Ecuador",2008,928,12903183,7.19202385953915,4787
"Ecuador",2009,964,13130161,7.34187493969038,4762
"Ecuador",2010,912,13360285,6.82620168656582,5206
"Ecuador",2011,918,13583553,6.75817291690915,5836
"Ecuador",2012,976,13815861,7.06434437926091,6364
"Ecuador",2013,676,14054613,4.80980870835789,6769
"Ecuador",2014,734,14295145,5.13461038695305,7116
"Ecuador",2015,1073,14534024,7.3826766764662,6832
"El Salvador",1990,571,4510552,12.6592044610061,1068
"El Salvador",1991,474,4576985,10.3561624082229,1148
"El Salvador",1992,419,4591600,9.12535935185992,1266
"El Salvador",1993,424,4694300,9.03223057750889,1423
"El Salvador",1995,620,4836397,12.8194604371808,1845
"El Salvador",1996,540,4892391,11.0375478983589,1959
"El Salvador",1997,577,4949302,11.6582095818764,2065
"El Salvador",1998,512,5006338,10.2270362089016,2185
"El Salvador",1999,515,5062759,10.1723190853051,2229
"El Salvador",2000,461,5118189,9.00709215701101,2303
"El Salvador",2001,514,5175094,9.93218673902348,2373
"El Salvador",2002,436,5230458,8.33579009715784,2421
"El Salvador",2003,527,5283542,9.97436946654347,2507
"El Salvador",2004,464,5333170,8.7002664456599,2573
"El Salvador",2005,455,5378879,8.45901162677205,2733
"El Salvador",2006,411,5429044,7.57039360889321,2947
"El Salvador",2007,501,5467861,9.16263233465518,3111
"El Salvador",2008,490,5499287,8.91024600098158,3271
"El Salvador",2009,506,5528910,9.15189431551608,3184
"El Salvador",2010,399,5560453,7.17567435602819,3318
"El Salvador",2011,485,5585785,8.68275452778795,3631
"El Salvador",2012,512,5618823,9.1122286642594,3806
"El Salvador",2013,484,5657250,8.55539352158734,3885
"El Salvador",2014,386,5696329,6.77629399565931,3965
"Estonia",1995,594,1356651,43.784289400885,3224
"Estonia",1996,545,1342202,40.6049163985749,3536
"Estonia",1997,522,1331234,39.2117388828711,3806
"Estonia",1998,477,1321719,36.0893654400065,4250
"Estonia",1999,468,1313198,35.6381901282213,4361
"Estonia",2000,377,1334175,28.257162666067,4262
"Estonia",2001,401,1325610,30.2502244249817,4711
"Estonia",2002,371,1316690,28.1767158556684,5561
"Estonia",2003,342,1307160,26.1635912971633,7523
"Estonia",2004,323,1297650,24.8911493854275,9293
"Estonia",2005,273,1288495,21.1875094587096,10870
"Estonia",2006,247,1278915,19.3132459936743,13264
"Estonia",2007,251,1270415,19.7573233943239,17504
"Estonia",2008,242,1264005,19.1454938864957,19141
"Estonia",2009,269,1259010,21.3659939158545,15609
"Estonia",2010,223,1254225,17.7799039247344,15540
"Estonia",2011,218,1249427,17.4479981623576,18545
"Estonia",2012,237,1251631,18.9352932293943,18411
"Estonia",2013,218,1243096,17.536859582848,20221
"Estonia",2014,241,1241852,19.4064993252014,21117
"Estonia",2015,195,1243450,15.6821745948772,18149
"Fiji",2001,36,719459,5.00375976949347,2307
"Fiji",2002,42,723187,5.80762651983512,2548
"Fiji",2003,10,725591,1.37818688489797,3192
"Fiji",2004,24,728408,3.29485672864658,3744
"Fiji",2005,22,732607,3.00297430955478,4104
"Fiji",2006,24,737759,3.25309484533567,4206
"Fiji",2007,13,745055,1.74483762943675,4570
"Fiji",2008,37,753658,4.90938860862619,4675
"Fiji",2009,26,762403,3.41026989662947,3765
"Fiji",2011,38,776325,4.89485717966058,4862
"Fiji",2012,32,782939,4.08716387866743,5073
"Finland",1987,1363,4614100,29.5398886023277,19861
"Finland",1988,1402,4633600,30.2572513812155,23546
"Finland",1989,1413,4654300,30.359022839095,25582
"Finland",1990,1512,4675100,32.3415541913542,30271
"Finland",1991,1493,4698500,31.7760987549218,27214
"Finland",1992,1451,4720900,30.7356648096761,23857
"Finland",1993,1397,4741000,29.4663573085847,18826
"Finland",1994,1387,4761600,29.1288642473118,21699
"Finland",1995,1388,4781300,29.029761780269,28068
"Finland",1996,1247,4802200,25.96726500354,27508
"Finland",1997,1322,4823200,27.4091889202189,26296
"Finland",1998,1228,4844673,25.3474279894639,27646
"Finland",1999,1207,4864255,24.8136662243242,27800
"Finland",2000,1165,4881820,23.864050702402,25716
"Finland",2001,1204,4898983,24.5765294551951,26383
"Finland",2002,1095,4915614,22.2759557605622,28390
"Finland",2003,1075,4929856,21.8059107608823,34701
"Finland",2004,1064,4944765,21.5177060992787,39793
"Finland",2005,994,4961784,20.0331171207775,41202
"Finland",2006,1062,4979740,21.3264146320892,43487
"Finland",2007,995,4998853,19.9045661074651,51089
"Finland",2008,1033,5020096,20.57729573299,56521
"Finland",2009,1034,5042316,20.5064498139347,49878
"Finland",2010,954,5063494,18.8407451455457,48939
"Finland",2011,912,5085985,17.9316297629663,53809
"Finland",2012,873,5110450,17.0826443855238,50232
"Finland",2013,887,5135433,17.2721560187817,52572
"Finland",2014,789,5159944,15.2908636217757,52832
"Finland",2015,731,5181797,14.1070752096232,44862
"France",1985,12501,51382600,24.3292476441441,10765
"France",1986,12529,51637600,24.2633274977923,14940
"France",1987,12161,51900800,23.431238054134,17999
"France",1988,11599,52157600,22.238369863644,19534
"France",1989,11715,52417900,22.3492356618636,19558
"France",1990,11403,52952900,21.534231364099,23968
"France",1991,11502,53282900,21.5866628880936,23821
"France",1992,11644,53622300,21.7148462486689,26136
"France",1993,12251,53945400,22.7099993697331,24521
"France",1994,12041,54247100,22.1965782502659,25697
"France",1995,11819,54528500,21.6749039493109,29363
"France",1996,11279,54791600,20.585272195008,29305
"France",1997,11139,55045500,20.2359865929095,26394
"France",1998,10534,55280700,19.0554750572985,27190
"France",1999,10268,55043393,18.6543732869084,27118
"France",2000,10849,55267624,19.6299374114581,24648
"France",2001,10449,55511272,18.8232040512421,24796
"France",2002,10643,55935517,19.0272667006904,26714
"France",2003,10871,56360402,19.288364905559,32656
"France",2004,10804,56813922,19.016465717681,37240
"France",2005,10713,57160687,18.7419021048505,38420
"France",2006,10423,57824447,18.0252480408503,40097
"France",2007,10127,58167011,17.4102121217815,45682
"France",2008,10353,58482967,17.7025902259713,49901
"France",2009,10499,58770727,17.8643357602161,45775
"France",2010,10379,59056283,17.5747599963242,44747
"France",2011,10408,59344643,17.5382300302994,48217
"France",2012,9743,59638457,16.3367741053394,45002
"France",2013,9600,59910069,16.0240175987779,46922
"France",2014,8881,60275954,14.7339020133966,47318
"Georgia",1990,196,4986400,3.93069148082785,1555
"Georgia",1991,174,5018550,3.46713692201931,1267
"Georgia",1992,204,4988700,4.08924168621084,740
"Georgia",1994,123,4518900,2.72190134767311,556
"Georgia",1995,138,4410850,3.12864867315824,611
"Georgia",1996,162,4310350,3.75839548992541,718
"Georgia",1997,176,4240600,4.15035608168655,828
"Georgia",1998,148,4209250,3.51606580744788,858
"Georgia",1999,189,4187750,4.51316339323026,669
"Georgia",2000,130,4165600,3.12079892452468,734
"Georgia",2001,100,4140950,2.41490479237856,777
"Georgia",2004,175,4089850,4.27888553369928,1253
"Georgia",2005,87,4132000,2.1055179090029,1552
"Georgia",2006,72,4166500,1.72806912276491,1859
"Georgia",2007,104,4154900,2.50306866591254,2448
"Georgia",2009,188,4158750,4.52058911932672,2589
"Georgia",2010,112,4193800,2.67060899422958,2775
"Georgia",2011,99,4202600,2.35568457621472,3435
"Georgia",2012,104,4200900,2.47565997762384,3772
"Georgia",2013,157,4192600,3.74469303057768,3850
"Georgia",2014,194,3470600,5.58981155996081,4757
"Georgia",2015,192,3458400,5.55170020818876,4046
"Germany",1990,13924,74958800,18.5755374952641,23546
"Germany",1991,14010,75495900,18.5572991380989,24662
"Germany",1992,13458,76131700,17.6772619027291,27888
"Germany",1993,12690,76793400,16.5248576049504,26937
"Germany",1994,12718,77163400,16.4819072254463,28588
"Germany",1995,12888,77547500,16.6194912795383,33420
"Germany",1996,12225,77882500,15.6967226270343,32147
"Germany",1997,12256,78067900,15.6991541978201,28420
"Germany",1998,11654,78071100,14.9274187247266,28733
"Germany",1999,11160,78141200,14.2818385179649,28154
"Germany",2000,11073,78242066,14.1522336590652,24922
"Germany",2001,11167,78421514,14.2397148823217,24874
"Germany",2002,11176,78633771,14.2127229279135,26441
"Germany",2003,11155,78756461,14.1639172943538,31816
"Germany",2004,10741,78811814,13.6286673975046,35772
"Germany",2005,10270,78851254,13.0245233639531,36289
"Germany",2006,9775,78828994,12.4002597318444,38088
"Germany",2007,9409,78776585,11.9439043974805,43667
"Germany",2008,9459,78662789,12.0247452706006,47702
"Germany",2009,9579,78448602,12.2105426429396,43570
"Germany",2010,10030,78349067,12.8016840328169,43614
"Germany",2011,10153,78371140,12.95502400501,47947
"Germany",2012,9896,78508115,12.6050663679799,45142
"Germany",2013,10091,77270988,13.0592351168074,48563
"Germany",2014,10217,77552369,13.1743235335596,50167
"Germany",2015,10088,78136683,12.9107093015453,43201
"Greece",1985,405,9275400,4.36638851154667,5156
"Greece",1986,393,9334000,4.21041354188987,6040
"Greece",1987,410,9387400,4.36755651192023,6994
"Greece",1988,403,9450000,4.26455026455026,8070
"Greece",1989,383,9527500,4.01994227236946,8310
"Greece",1990,349,9617000,3.62899032962462,10179
"Greece",1991,381,9721144,3.91929180351613,10816
"Greece",1992,351,9834155,3.56919328605254,11818
"Greece",1993,412,9930405,4.14887408922395,10957
"Greece",1994,355,10018932,3.54329183988872,11638
"Greece",1995,370,10101632,3.66277449030018,13550
"Greece",1996,356,10178479,3.49757562009019,14330
"Greece",1997,374,10248806,3.64920557575195,13968
"Greece",1998,403,10310630,3.90858754508696,14008
"Greece",1999,381,10362363,3.6767675480969,13756
"Greece",2000,382,10403059,3.67199686169232,12509
"Greece",2001,334,10441529,3.19876523830945,13043
"Greece",2002,323,10482045,3.08145977240128,14676
"Greece",2003,375,10515665,3.56610827750789,19202
"Greece",2004,353,10547290,3.34683127135027,22804
"Greece",2005,400,10582816,3.77971231853601,23414
"Greece",2006,394,10618891,3.71036862512291,25739
"Greece",2007,328,10653591,3.07877409598322,29896
"Greece",2008,373,10686723,3.49031223135474,33168
"Greece",2009,391,10719618,3.6475180365569,30785
"Greece",2010,377,10735384,3.51175141941825,27886
"Greece",2011,477,10728724,4.44600867726675,26825
"Greece",2012,508,10539802,4.81982488855104,23309
"Greece",2013,533,10431289,5.10962739120736,22994
"Greece",2014,565,10380547,5.44287309714989,22834
"Greece",2015,529,10331286,5.12036933253034,18927
"Grenada",1985,1,85375,1.17130307467057,1965
"Grenada",1988,4,87300,4.58190148911798,2707
"Grenada",1989,4,81805,4.88967667013019,3268
"Grenada",1990,2,82000,2.4390243902439,3391
"Grenada",1991,0,82400,0,3650
"Grenada",1992,0,83528,0,3713
"Grenada",1993,3,85304,3.51683391165713,3632
"Grenada",1994,4,87036,4.59579943931247,3735
"Grenada",1995,1,88433,1.13079958838895,3869
"Grenada",1996,1,89772,1.11393307490086,4087
"Grenada",2001,0,91415,0,5693
"Grenada",2002,0,91908,0,5879
"Grenada",2003,4,92567,4.32119437812611,6385
"Grenada",2004,1,93202,1.07293834896247,6428
"Grenada",2005,6,93685,6.404440412019,7422
"Grenada",2006,1,94126,1.06240571149311,7423
"Grenada",2007,3,94418,3.17736024910504,8035
"Grenada",2008,0,94585,0,8733
"Grenada",2009,0,94746,0,8140
"Grenada",2010,0,94980,0,8118
"Grenada",2011,1,95102,1.05150259721141,8188
"Grenada",2012,2,95426,2.09586485863392,8382
"Grenada",2013,0,95876,0,8789
"Grenada",2014,0,96393,0,9456
"Grenada",2015,0,96892,0,10290
"Guatemala",1986,203,6924188,2.931751708648,1044
"Guatemala",1987,241,7108740,3.39019291745091,997
"Guatemala",1988,174,7300076,2.38353682893164,1074
"Guatemala",1989,152,7493108,2.02853075119163,1122
"Guatemala",1990,158,7683992,2.05622285915967,996
"Guatemala",1991,156,7880665,1.97952837736409,1194
"Guatemala",1992,173,8069672,2.14382938984385,1294
"Guatemala",1993,165,8254958,1.99879878250138,1381
"Guatemala",1994,142,8443914,1.68168458371319,1538
"Guatemala",1995,211,8641512,2.44170233172158,1696
"Guatemala",1996,157,8832326,1.77756119962058,1775
"Guatemala",1997,179,9044205,1.97916787600458,1967
"Guatemala",1998,201,9273529,2.16745965856148,2091
"Guatemala",1999,234,9512666,2.45987822972025,1926
"Guatemala",2000,182,9755585,1.86559801385565,1977
"Guatemala",2001,202,10015097,2.01695500303192,1867
"Guatemala",2002,258,10277166,2.51041970130676,2022
"Guatemala",2003,253,10542980,2.39970103329419,2079
"Guatemala",2004,250,10817808,2.31100422562501,2215
"Guatemala",2005,238,11104906,2.14319688973504,2450
"Guatemala",2006,298,11397134,2.6146924305707,2653
"Guatemala",2007,327,11708397,2.79286737544004,2914
"Guatemala",2008,492,12032885,4.08879499804079,3252
"Guatemala",2009,511,12359945,4.13432260418635,3053
"Guatemala",2010,352,12682151,2.77555439924978,3260
"Guatemala",2011,359,13017342,2.75785947699615,3661
"Guatemala",2012,420,13335425,3.1495059212586,3779
"Guatemala",2013,455,13641878,3.33531790857534,3947
"Guatemala",2014,512,13947190,3.6709903571974,4210
"Guatemala",2015,494,14258397,3.46462509074477,4472
"Guyana",1988,56,654894,8.55100214691232,632
"Guyana",1989,94,654104,14.3708034196397,581
"Guyana",1990,89,653426,13.620517089923,607
"Guyana",1991,105,654620,16.0398399071217,514
"Guyana",1992,78,656713,11.8773345434002,561
"Guyana",1993,72,658831,10.9284475077827,671
"Guyana",1994,86,660582,13.018822795656,819
"Guyana",1995,99,661682,14.9618699012517,939
"Guyana",1996,60,659048,9.10404098032313,1070
"Guyana",1997,40,657584,6.08287306260493,1139
"Guyana",1998,35,657089,5.32652349986075,1092
"Guyana",1999,163,657094,24.806192112544,1057
"Guyana",2001,197,660426,29.8292314354674,1054
"Guyana",2002,176,662839,26.5524508968241,1090
"Guyana",2003,198,664705,29.7876501605976,1116
"Guyana",2004,186,666308,27.9150182798346,1180
"Guyana",2005,169,667709,25.3104271471554,1235
"Guyana",2006,201,668408,30.0714533638137,2182
"Guyana",2007,185,668788,27.6619795809733,2602
"Guyana",2008,168,669253,25.1026144074065,2873
"Guyana",2009,156,670155,23.2781968350605,3076
"Guyana",2010,205,671825,30.5138987087411,3384
"Guyana",2011,192,675283,28.4325238455581,3815
"Guyana",2012,206,679356,30.3228351556474,4212
"Guyana",2013,210,683867,30.7077253325574,4372
"Hungary",1991,3993,9757766,40.9212518521145,3561
"Hungary",1992,4000,9754956,41.0047979714106,3970
"Hungary",1993,3694,9747902,37.89533378567,4116
"Hungary",1994,3625,9740817,37.2145375485444,4431
"Hungary",1995,3366,9737248,34.56828869923,4767
"Hungary",1996,3436,9737250,35.287170402321,4792
"Hungary",1997,3208,9737781,32.943850349479,4856
"Hungary",1998,3245,9734373,33.335480364272,5010
"Hungary",1999,3326,9553064,34.8160548280635,5147
"Hungary",2000,3269,9527034,34.3128826873086,4966
"Hungary",2001,2978,9704598,30.6864849012808,5546
"Hungary",2002,2839,9680164,29.3280155170925,6995
"Hungary",2003,2800,9652533,29.0079298356193,8840
"Hungary",2004,2742,9630044,28.4733901527345,10806
"Hungary",2005,2619,9608943,27.2558594634186,11764
"Hungary",2006,2461,9591110,25.6591781347519,12021
"Hungary",2007,2450,9572938,25.5929788744062,14609
"Hungary",2008,2476,9552784,25.9191456647612,16540
"Hungary",2009,2460,9534237,25.8017500508955,13697
"Hungary",2010,2489,9514005,26.1614325407649,13761
"Hungary",2011,2420,9495011,25.487068945997,14827
"Hungary",2012,2349,9453181,24.8487784164928,13525
"Hungary",2013,2092,9433840,22.1754873943166,14333
"Hungary",2014,1925,9412788,20.4509014757371,14886
"Hungary",2015,1868,9389519,19.8945228184745,13087
"Iceland",1985,32,220100,14.5388459791004,13357
"Iceland",1986,37,222300,16.6441745389114,17681
"Iceland",1987,36,225600,15.9574468085106,24107
"Iceland",1988,35,229200,15.2705061082024,26249
"Iceland",1989,22,232000,9.48275862068965,24089
"Iceland",1990,40,233300,17.1453064723532,27316
"Iceland",1991,37,235900,15.6846121237813,28857
"Iceland",1992,28,238000,11.7647058823529,29311
"Iceland",1993,26,240500,10.8108108108108,25474
"Iceland",1994,25,242700,10.3007828594973,25937
"Iceland",1995,27,244700,11.0339190845934,28680
"Iceland",1996,33,246500,13.3874239350913,29740
"Iceland",1997,33,248929,13.256792097345,30326
"Iceland",1998,30,252253,11.8928218891351,33513
"Iceland",1999,31,255820,12.1178953951997,34858
"Iceland",2000,50,259723,19.251279247506,34372
"Iceland",2001,36,263738,13.6499101380916,30850
"Iceland",2002,30,266455,11.25893678107,34556
"Iceland",2003,26,268330,9.68956136101069,42174
"Iceland",2004,35,271588,12.8871673269806,50528
"Iceland",2005,33,274929,12.003098981919,60712
"Iceland",2006,32,282999,11.3074604503903,60243
"Iceland",2007,37,289712,12.7713039156127,73590
"Iceland",2008,38,296836,12.8016817367166,59489
"Iceland",2009,36,296204,12.1537859043092,43700
"Iceland",2010,46,294620,15.6133324282126,45179
"Iceland",2011,27,295475,9.13782891953634,49861
"Iceland",2012,37,297238,12.4479373431392,48083
"Iceland",2013,49,300456,16.3085443459275,51749
"Iceland",2014,44,304472,14.4512467484695,56833
"Iceland",2015,40,308554,12.9636951716717,54909
"Ireland",1985,276,3208200,8.60295492799701,6638
"Ireland",1986,282,3216700,8.76674853110331,8937
"Ireland",1987,245,3229700,7.58584388642908,10515
"Ireland",1988,266,3233500,8.22638008350085,11696
"Ireland",1989,278,3223200,8.62496897493175,12188
"Ireland",1990,334,3224000,10.3598014888337,15312
"Ireland",1991,345,3252100,10.6085298730051,15328
"Ireland",1992,362,3283400,11.0251568496071,17051
"Ireland",1993,326,3306500,9.8593679116891,15872
"Ireland",1994,394,3326000,11.8460613349369,17188
"Ireland",1995,403,3345900,12.0445918885801,20689
"Ireland",1996,408,3375800,12.0860240535577,22478
"Ireland",1997,466,3414285,13.6485384201963,24259
"Ireland",1998,498,3449415,14.4372306608512,26115
"Ireland",1999,424,3481871,12.1773609648376,28344
"Ireland",2000,463,3523376,13.1408058634673,28340
"Ireland",2001,488,3573974,13.6542683298759,30536
"Ireland",2002,449,3639573,12.3366120146512,35154
"Ireland",2003,454,3694079,12.289937491862,44473
"Ireland",2004,464,3752679,12.3645001344373,51662
"Ireland",2005,451,3833357,11.7651447543237,55213
"Ireland",2006,452,3937578,11.4791376831138,58941
"Ireland",2007,458,4026707,11.3740582565357,67032
"Ireland",2008,506,4094192,12.3589709520218,67173
"Ireland",2009,527,4117667,12.7985094472185,57390
"Ireland",2010,486,4264857,11.3954582767957,52042
"Ireland",2011,554,4218849,13.1315436982931,56655
"Ireland",2012,542,4220806,12.8411492970774,53443
"Ireland",2013,487,4227378,11.520143218799,56628
"Ireland",2014,486,4328043,11.2290936111309,59634
"Israel",1985,234,3753500,6.23418143066471,7325
"Israel",1986,278,3813500,7.28989117608496,8938
"Israel",1987,271,3878100,6.98795802068023,10558
"Israel",1988,303,3947300,7.67613305297292,12687
"Israel",1989,353,4021100,8.77869239760265,12405
"Israel",1990,304,4156100,7.31454969803421,14193
"Israel",1991,359,4423200,8.11629589437511,15267
"Israel",1992,381,4588900,8.30264333500403,16469
"Israel",1993,371,4717000,7.86516853932584,16102
"Israel",1994,416,4844900,8.58634853144544,17814
"Israel",1995,360,4977700,7.23225586114069,20159
"Israel",1996,306,5103700,5.99565021455023,21545
"Israel",1997,379,5233500,7.24180758574568,21921
"Israel",1998,318,5360200,5.93261445468453,21637
"Israel",1999,368,5497047,6.69450343066013,21319
"Israel",2000,394,5643291,6.98174168229141,23451
"Israel",2001,398,5777467,6.88883207814082,22623
"Israel",2002,382,5895508,6.47950948416998,20536
"Israel",2003,417,6003127,6.94637977840549,21133
"Israel",2004,411,6109931,6.72675354271595,22168
"Israel",2005,425,6220861,6.83185173242096,22901
"Israel",2006,367,6334485,5.79368330653558,24306
"Israel",2007,326,6448814,5.05519309442015,27712
"Israel",2008,354,6565602,5.39173711717524,32874
"Israel",2009,404,6731835,6.00133544568457,30812
"Israel",2010,480,6849825,7.00747829324107,34104
"Israel",2011,409,6971495,5.86674737628012,37528
"Israel",2012,430,7095360,6.06029856131331,36263
"Israel",2013,372,7226008,5.14807069131393,40477
"Israel",2014,382,7366252,5.18581226925172,41869
"Israel",2015,342,7516180,4.55018373695148,39793
"Italy",1985,4759,54114700,8.79428325390328,8329
"Italy",1986,4691,54267500,8.64421615147188,11762
"Italy",1987,4516,54424100,8.29779454322625,14756
"Italy",1988,4381,54579700,8.0267938445979,16282
"Italy",1989,4342,54697200,7.93824912426962,16922
"Italy",1990,4402,54831700,8.02820266378755,21472
"Italy",1991,4453,54465500,8.17581771947379,22805
"Italy",1992,4543,54154898,8.38889955992531,24297
"Italy",1993,4697,54140523,8.67557190018279,19605
"Italy",1994,4536,54143049,8.37780672455295,20235
"Italy",1995,4569,54141172,8.43904893673155,21625
"Italy",1996,4689,54150332,8.65922668765909,24172
"Italy",1997,4694,54181477,8.66347737253453,22869
"Italy",1998,4504,54250592,8.30221355003831,23342
"Italy",1999,4115,54280527,7.58098756115614,23002
"Italy",2000,4108,54298946,7.5655243842118,21027
"Italy",2001,4030,54333844,7.41710820239407,21392
"Italy",2002,4069,54526842,7.46237972116559,23227
"Italy",2003,4075,54937570,7.41751045777962,28572
